"task","epochs","best_map50","best_map50_epoch","best_map50_95","best_map50_95_epoch","final_precision","final_recall","final_map50","final_map50_95","final_train_box_loss","final_val_box_loss","source"
"earthquake damage detection","50","0.85625","37","0.85625","37","0.88453","0.79424","0.85167","0.85167","0.08327","0.05334","data\datasets\Ai_process_V3\tasks\earthquake\runs\results.csv"
"maritime ship detection","50","0.98609","47","0.70235","42","0.96274","0.94528","0.98077","0.69029","0.88031","1.00102","data\datasets\Ai_process_V3\tasks\maritime_ship\runs\results.csv"
